Serial Number,Roll Number,Name,Father Name,Admission Year,Category,Gender,Grade,City,Standard,Hindi Marks,English Marks,Science Marks,Maths Marks,Drawing Marks,Total Marks,Percentage
11223520,R1519,Kamal,Mukesh,2004,BC,M,D,Ambala,9th,56,92,85,68,11,312,62.4
11223521,R1520,Kamal,Mukesh,2005,BC,F,B,Rohtak,7th,10,61,30,88,24,213,42.6
11223522,R1521,Vikas,Satish,2000,BC,F,B,Faridabad,8th,13,42,77,2,92,226,45.2
11223523,R1522,Ravi,Suresh,2006,GNRL,M,D,Hisar,6th,95,95,95,20,60,365,73
11223524,R1523,Kamal,Mahesh,2007,OBC,F,D,Rohtak,9th,33,39,81,49,76,278,55.6
11223525,R1524,Deepak,Ramesh,2007,BC,F,B,Panipat,11th,64,42,81,43,88,318,63.6
11223526,R1525,Aman,Suresh,2004,GNRL,M,A,Jhajjar,9th,52,21,59,21,9,162,32.4
11223527,R1526,Mohit,Satish,2009,OBC,F,A,Gurgaon,8th,32,40,42,16,25,155,31
11223528,R1527,Deepak,Naresh,2007,GNRL,M,D,Hisar,6th,95,92,89,17,9,302,60.4
11223529,R1528,Kamal,Suresh,2005,BC,F,B,Jhajjar,9th,6,97,58,28,48,237,47.4
11223530,R1529,Anjali,Mukesh,2001,OBC,F,B,Rohtak,8th,86,13,2,93,12,206,41.2
11223531,R1530,Kamal,Lokesh,2004,SC,F,C,Sonipat,6th,78,91,64,76,31,340,68
11223532,R1531,Ravi,Prakash,2000,SC,F,B,Sonipat,12th,48,87,56,51,41,283,56.6
11223533,R1532,Aman,Rajesh,2006,OBC,M,C,Gurgaon,8th,24,32,90,63,71,280,56
11223534,R1533,Anjali,Mahesh,2007,SC,F,D,Hisar,6th,52,57,4,62,7,182,36.4
11223535,R1534,Vikas,Mukesh,2006,GNRL,M,C,Kurukshetra,9th,76,26,37,73,12,,44.8
11223536,R1535,Anjali,Prakash,2004,GNRL,F,B,Faridabad,7th,31,28,65,58,3,185,37
11223537,R1536,Aman,Naresh,2005,OBC,F,A,Panipat,6th,99,53,84,64,89,389,77.8
11223538,R1537,Mohit,Rajesh,2007,OBC,M,D,Sonipat,7th,14,68,28,14,96,220,44
11223539,R1538,Suman,Mahesh,2005,OBC,M,C,Hisar,12th,14,73,3,6,64,160,32
11223540,R1539,Suman,Mahesh,2003,OBC,M,A,Ambala,7th,85,80,61,66,66,358,71.6
11223541,R1540,Anjali,Mahesh,2004,BC,M,A,Panipat,6th,76,41,7,45,70,239,47.8
11223542,R1541,Mohit,Lokesh,2003,OBC,M,A,Faridabad,6th,1,40,44,43,71,199,39.8
11223543,R1542,Vikas,Prakash,2001,BC,F,C,Sonipat,9th,70,57,5,17,27,176,35.2
11223544,R1543,Ravi,Suresh,2006,GNRL,F,B,Hisar,6th,51,28,56,69,13,217,43.4
11223545,R1544,Vikas,Lokesh,2007,BC,F,A,Faridabad,11th,41,11,25,19,91,187,37.4
11223546,R1545,Aman,Mukesh,2009,OBC,M,D,Ambala,8th,73,32,12,20,3,140,28
11223547,R1546,Kamal,,2002,OBC,F,A,Ambala,7th,52,6,93,64,97,312,62.4
11223548,R1547,Deepak,Prakash,2001,GNRL,M,B,Jhajjar,12th,0,82,21,19,62,184,36.8
11223549,R1548,Pooja,Mahesh,2009,SC,M,B,Gurgaon,9th,39,88,16,74,84,301,60.2
11223550,R1549,Neha,Mukesh,2003,SC,M,A,Sonipat,7th,31,68,6,25,15,145,29
11223551,R1550,Aman,Mahesh,2008,SC,M,C,Kurukshetra,6th,64,57,53,98,45,317,63.4
11223552,R1551,Pooja,Rajesh,2005,SC,M,D,Rohtak,12th,85,33,16,26,36,196,39.2
11223553,R1552,Vikas,Suresh,2006,SC,M,D,Kurukshetra,7th,53,,61,30,84,257,51.4
11223554,R1553,Aman,Rajesh,2009,GNRL,M,D,Gurgaon,7th,45,95,7,36,31,214,42.8
11223555,R1554,Mohit,Mahesh,2004,OBC,F,D,Gurgaon,12th,89,14,35,50,28,216,43.2
11223556,R1555,Pooja,Rajesh,2003,BC,F,B,Kurukshetra,6th,80,5,47,35,82,249,49.8
11223557,R1556,Neha,Mukesh,2008,OBC,M,B,Ambala,12th,55,22,20,4,21,122,24.4
11223558,R1557,Pooja,Suresh,2006,OBC,F,C,Rohtak,9th,100,94,53,72,97,416,83.2
11223559,R1558,Suman,Mahesh,2007,GNRL,F,B,Hisar,6th,42,12,89,55,76,274,54.8
11223560,R1559,Aman,Prakash,2007,GNRL,M,B,Sonipat,12th,7,0,87,13,32,139,27.8
11223561,R1560,Aman,Naresh,2003,OBC,M,D,Rohtak,7th,26,27,16,38,12,119,23.8
11223562,R1561,Suman,Lokesh,2007,OBC,F,D,Ambala,9th,8,45,49,64,64,230,46
11223563,R1562,Vikas,Mahesh,2008,OBC,M,C,Jhajjar,9th,74,5,64,14,7,164,32.8
11223564,R1563,Anjali,Rajesh,2000,OBC,F,D,Faridabad,7th,54,9,81,29,45,218,43.6
11223565,R1564,Suman,Suresh,2008,GNRL,M,B,Kurukshetra,12th,19,86,78,21,86,290,58
11223566,R1565,Pooja,Satish,2009,OBC,M,B,Jhajjar,9th,86,63,9,96,82,336,67.2
11223567,R1566,Kamal,Ramesh,2008,GNRL,F,A,Sonipat,8th,49,18,78,76,83,304,60.8
11223568,R1567,Neha,Ramesh,2008,BC,F,C,Karnal,7th,24,76,40,38,49,227,45.4
11223569,R1568,Neha,Mukesh,2007,OBC,F,D,Panipat,9th,68,14,30,37,26,175,35
11223570,R1569,Anjali,Naresh,2003,OBC,M,B,Kurukshetra,6th,52,36,91,72,66,317,63.4
11223571,R1570,Suman,Suresh,2008,SC,F,D,Ambala,11th,95,11,94,29,23,252,50.4
11223572,R1571,Neha,Naresh,2004,GNRL,M,B,Ambala,7th,9,12,77,14,12,124,24.8
11223573,R1572,Vikas,Ramesh,2005,GNRL,M,B,Karnal,8th,37,96,79,76,64,352,70.4
11223574,R1573,Deepak,Ramesh,2002,OBC,F,C,Panipat,9th,,35,94,7,58,279,55.8
11223575,R1574,Pooja,Mukesh,2001,GNRL,F,B,Jhajjar,9th,84,41,96,65,2,288,57.6
11223576,R1575,Ravi,Satish,2005,OBC,M,C,Ambala,11th,3,67,84,39,92,285,57
11223577,R1576,Suman,Rajesh,2000,SC,F,D,,12th,33,94,21,29,81,258,51.6
11223578,R1577,Anjali,Prakash,2003,BC,M,A,Faridabad,6th,84,62,83,100,74,403,80.6
11223579,R1578,Mohit,Naresh,2007,GNRL,M,D,Faridabad,9th,38,10,7,4,11,70,14
11223580,R1579,Suman,Dinesh,2001,BC,M,B,Kurukshetra,8th,76,0,40,74,49,239,47.8
11223581,R1580,Kamal,Naresh,2008,BC,M,D,Ambala,7th,36,51,43,46,68,244,48.8
11223582,R1581,Anjali,Rajesh,2005,OBC,F,A,Ambala,9th,32,76,6,28,40,182,36.4
11223583,R1582,Suman,Lokesh,2009,GNRL,M,D,Hisar,8th,0,36,5,42,48,131,26.2
11223584,R1583,Deepak,Lokesh,2005,GNRL,F,A,Gurgaon,9th,46,67,100,43,12,268,53.6
11223585,R1584,Mohit,Mukesh,2005,OBC,F,D,Faridabad,12th,88,53,25,47,0,213,42.6
11223586,R1585,Deepak,Lokesh,2001,OBC,F,D,Ambala,6th,78,56,28,99,58,319,63.8
11223587,R1586,Aman,Mahesh,2006,BC,M,C,Rohtak,7th,57,42,24,66,14,203,40.6
11223588,R1587,Neha,Naresh,2004,OBC,F,C,Sonipat,7th,95,88,30,60,39,312,62.4
11223589,R1588,Mohit,Rajesh,2000,SC,M,B,Faridabad,7th,82,82,96,28,12,300,60
11223590,R1589,Anjali,Mahesh,2005,GNRL,M,B,Hisar,12th,64,6,98,76,35,279,55.8
11223591,R1590,Deepak,Naresh,2007,SC,F,B,Jhajjar,12th,57,47,69,16,38,227,45.4
11223592,R1591,Mohit,Satish,2009,BC,F,D,Faridabad,8th,82,57,38,72,76,325,65
11223593,R1592,Vikas,Lokesh,2006,GNRL,M,D,Karnal,6th,29,1,71,15,69,185,37
11223594,R1593,Neha,Suresh,2009,BC,F,C,Kurukshetra,6th,7,91,59,55,42,254,50.8
11223595,R1594,Pooja,Lokesh,2006,SC,M,D,Karnal,8th,90,72,63,3,79,307,61.4
11223596,R1595,Kamal,Dinesh,2007,OBC,M,B,Karnal,8th,41,72,30,85,95,323,64.6
11223597,R1596,Ravi,Naresh,2006,GNRL,F,A,Rohtak,6th,87,24,65,100,80,356,71.2
11223598,R1597,Kamal,Mukesh,2004,SC,F,D,Kurukshetra,12th,0,71,10,5,,153,30.6
11223599,R1598,Suman,Satish,2006,BC,F,C,Panipat,6th,62,43,,69,65,252,50.4
11223600,R1599,Aman,Mukesh,2000,BC,M,C,Panipat,6th,88,90,60,59,94,391,78.2
11223601,R1600,Suman,Mahesh,2006,OBC,F,D,Kurukshetra,12th,98,79,98,13,17,305,61
11223602,R1601,Ravi,Mukesh,2001,BC,M,A,Panipat,7th,96,64,23,27,73,283,56.6
11223603,R1602,Neha,Rajesh,2000,OBC,F,C,Gurgaon,12th,8,45,68,3,70,194,38.8
11223604,R1603,Mohit,Satish,2007,SC,M,B,Panipat,8th,3,61,72,82,76,294,58.8
11223605,R1604,Neha,Dinesh,2009,SC,M,B,Rohtak,11th,100,30,8,59,28,225,45
11223606,R1605,Suman,Mukesh,2004,OBC,M,C,Ambala,6th,77,7,26,15,47,172,34.4
11223607,R1606,Suman,Prakash,2009,OBC,F,C,Hisar,12th,68,94,1,76,78,317,63.4
11223608,R1607,Kamal,Prakash,2002,BC,M,B,Ambala,12th,67,48,12,81,89,297,59.4
11223609,R1608,Kamal,Dinesh,2008,OBC,M,B,Faridabad,11th,67,77,5,26,88,263,52.6
11223610,R1609,Neha,Suresh,2005,BC,M,B,Sonipat,6th,68,60,91,25,93,337,67.4
11223611,R1610,Pooja,Prakash,2009,SC,F,B,Kurukshetra,9th,86,87,14,28,0,215,43
11223612,R1611,Mohit,Suresh,2003,BC,M,C,Ambala,11th,46,64,65,1,44,220,44
11223613,R1612,Anjali,Dinesh,2003,BC,M,C,Jhajjar,6th,9,17,14,53,46,139,27.8
11223614,R1613,Anjali,Prakash,2000,GNRL,F,D,Karnal,6th,37,53,13,28,25,156,31.2
11223615,R1614,Suman,Lokesh,2007,OBC,F,C,Ambala,12th,19,8,2,16,18,63,12.6
11223616,R1615,Pooja,Rajesh,2007,BC,F,A,Faridabad,12th,17,56,88,91,84,336,67.2
11223617,R1616,Aman,Prakash,2006,SC,M,D,Panipat,9th,73,91,19,45,17,245,49
11223618,R1617,Kamal,Rajesh,2003,OBC,F,A,Faridabad,8th,34,49,17,25,95,220,44
11223619,R1618,Pooja,Suresh,2000,BC,M,C,Gurgaon,8th,7,92,100,7,23,229,45.8
11223620,R1619,Aman,Ramesh,2003,BC,M,C,Gurgaon,12th,2,49,37,34,98,220,44
11223621,R1620,Deepak,Dinesh,2006,GNRL,F,D,Jhajjar,9th,58,5,10,49,14,136,27.2
11223622,R1621,Kamal,Lokesh,2009,BC,F,A,Jhajjar,7th,13,67,59,97,4,240,48
11223623,R1622,Ravi,Rajesh,2004,BC,M,D,Karnal,12th,49,29,37,28,94,237,47.4
11223624,R1623,Anjali,Suresh,2005,GNRL,M,D,Sonipat,8th,75,88,66,37,77,343,68.6
11223625,R1624,Vikas,Rajesh,2008,SC,M,A,Ambala,9th,14,73,23,81,37,228,45.6
11223626,R1625,Neha,Suresh,2009,BC,F,C,Kurukshetra,12th,89,37,53,17,3,199,39.8
11223627,R1626,Aman,Prakash,2009,BC,M,C,Sonipat,7th,11,81,3,50,63,208,41.6
11223628,R1627,Deepak,Ramesh,2002,BC,M,C,Rohtak,9th,49,94,23,24,94,284,56.8
11223629,R1628,Neha,Ramesh,2009,BC,M,C,Jhajjar,8th,69,26,20,50,48,213,42.6
11223630,R1629,Anjali,Ramesh,2008,GNRL,M,D,Faridabad,8th,81,62,44,72,84,343,68.6
11223631,R1630,Deepak,Prakash,2007,GNRL,M,A,Panipat,6th,53,87,85,77,2,304,60.8
11223632,R1631,Pooja,Rajesh,2004,GNRL,M,B,Ambala,7th,61,19,74,37,100,291,58.2
11223633,R1632,Anjali,Prakash,2004,OBC,F,A,Karnal,6th,13,87,79,61,28,268,53.6
11223634,R1633,Deepak,Mukesh,2009,BC,F,A,Panipat,6th,62,78,51,54,31,276,55.2
11223635,R1634,Anjali,Mahesh,2000,GNRL,M,C,Kurukshetra,12th,30,10,52,31,47,170,34
11223636,R1635,Anjali,Ramesh,2002,OBC,F,B,Rohtak,7th,82,84,37,27,54,284,56.8
11223637,R1636,Aman,Mukesh,2007,GNRL,M,C,Faridabad,9th,23,26,79,96,55,279,55.8
11223638,R1637,Suman,Ramesh,2005,BC,F,C,Rohtak,9th,94,41,46,95,14,290,58
11223639,R1638,Kamal,Rajesh,2001,GNRL,F,B,Hisar,6th,84,21,81,75,62,323,64.6
11223640,R1639,Kamal,Naresh,2003,SC,F,D,Faridabad,7th,31,100,82,54,93,360,72
11223641,R1640,Aman,Dinesh,2004,BC,F,C,Jhajjar,6th,0,10,15,55,66,146,29.2
11223642,R1641,Ravi,Ramesh,2006,GNRL,M,C,Ambala,11th,54,50,80,71,58,313,62.6
11223643,R1642,Deepak,Dinesh,2003,SC,M,B,Faridabad,12th,88,2,39,43,87,259,51.8
11223644,R1643,Mohit,Naresh,2001,BC,M,D,Gurgaon,9th,48,24,55,75,98,300,60
11223645,R1644,Aman,Dinesh,2002,SC,M,C,Rohtak,8th,32,43,99,54,75,303,60.6
11223646,R1645,Anjali,Naresh,2000,OBC,M,A,Faridabad,12th,95,6,1,8,96,206,
11223647,R1646,Aman,Ramesh,2004,BC,F,B,Rohtak,9th,1,97,96,36,75,305,61
11223648,R1647,Anjali,Satish,2007,SC,M,A,Panipat,12th,46,32,64,73,84,299,59.8
11223649,R1648,Suman,Ramesh,2000,,M,C,Panipat,12th,86,1,5,58,70,220,44
11223650,R1649,Neha,Mahesh,2000,SC,F,C,Panipat,12th,39,76,9,18,73,215,43
11223651,R1650,Vikas,Dinesh,2000,OBC,F,A,Jhajjar,9th,58,100,17,51,70,296,59.2
11223652,R1651,Aman,Lokesh,2000,OBC,F,D,Jhajjar,12th,72,49,,15,68,282,56.4
11223653,R1652,Pooja,Dinesh,2003,BC,,C,Sonipat,12th,40,32,14,12,68,166,33.2
11223654,R1653,Ravi,Rajesh,2005,OBC,M,B,Hisar,12th,84,88,66,78,34,350,70
11223655,R1654,Mohit,Dinesh,2008,OBC,F,C,Panipat,11th,,97,55,84,2,250,50
11223656,R1655,Suman,Ramesh,2007,OBC,F,C,Ambala,12th,5,62,12,23,85,187,37.4
11223657,R1656,Pooja,Rajesh,2007,OBC,F,B,Kurukshetra,11th,11,28,45,100,19,203,40.6
11223658,R1657,Suman,Lokesh,2007,OBC,F,A,Rohtak,11th,98,7,71,73,47,296,59.2
11223659,R1658,Vikas,Mahesh,2003,OBC,F,,Rohtak,7th,0,26,68,55,99,248,49.6
11223660,R1659,Vikas,Mukesh,2002,BC,F,B,Sonipat,9th,19,99,1,80,37,236,47.2
11223661,R1660,Deepak,Dinesh,2005,GNRL,F,A,Panipat,7th,22,100,58,64,90,334,66.8
11223662,R1661,Kamal,Mukesh,2001,GNRL,M,C,Panipat,7th,3,71,95,59,8,236,47.2
11223663,R1662,Kamal,Prakash,2005,OBC,F,A,Faridabad,12th,13,82,85,38,22,240,48
11223664,R1663,Anjali,Lokesh,2001,BC,F,A,Panipat,6th,18,9,33,31,66,157,31.4
11223665,R1664,Deepak,Mahesh,2009,SC,F,C,Hisar,7th,41,64,58,57,29,249,49.8
11223666,R1665,Aman,Ramesh,2006,BC,F,C,Kurukshetra,11th,74,16,69,34,40,233,46.6
11223667,R1666,Pooja,Naresh,2005,SC,F,B,Ambala,12th,95,26,41,85,0,247,49.4
11223668,R1667,Ravi,Lokesh,2005,GNRL,F,A,Hisar,11th,41,91,69,54,60,315,63
11223669,R1668,Pooja,Rajesh,2004,SC,F,B,Rohtak,11th,70,39,37,26,89,261,52.2
11223670,R1669,Deepak,Ramesh,2009,BC,M,C,Gurgaon,7th,79,73,49,49,85,335,67
11223671,R1670,Suman,Ramesh,2005,SC,F,A,Karnal,6th,21,13,79,68,9,190,38
11223672,R1671,Kamal,Satish,2003,GNRL,F,B,Faridabad,6th,9,79,38,97,52,275,55
11223673,R1672,Anjali,Suresh,2005,GNRL,M,D,Jhajjar,8th,9,51,18,51,55,184,36.8
11223674,R1673,Kamal,Lokesh,2002,BC,F,B,Panipat,11th,89,62,41,19,63,274,54.8
11223675,R1674,Pooja,Satish,2001,SC,M,C,Faridabad,11th,44,8,43,1,25,121,24.2
11223676,R1675,Neha,Mukesh,2008,OBC,M,A,Faridabad,11th,63,60,90,55,76,344,68.8
11223677,R1676,Mohit,Mukesh,2002,BC,M,D,Hisar,9th,22,16,2,7,3,50,10
11223678,R1677,,Satish,2005,OBC,F,C,Panipat,9th,72,,11,81,92,259,51.8
11223679,R1678,Aman,Prakash,2006,OBC,M,C,Rohtak,7th,74,64,45,97,79,359,71.8
11223680,R1679,Anjali,Mahesh,2004,OBC,M,D,Jhajjar,12th,49,6,82,47,23,207,41.4
11223681,R1680,Suman,Mukesh,2004,GNRL,F,,Kurukshetra,7th,100,8,24,83,46,261,52.2
11223682,R1681,Suman,Rajesh,2005,GNRL,M,B,Gurgaon,8th,30,55,41,58,48,232,46.4
11223683,R1682,Kamal,Mahesh,2000,OBC,M,A,Hisar,6th,20,13,23,39,21,116,23.2
11223684,R1683,Pooja,Lokesh,2005,GNRL,M,A,Kurukshetra,7th,93,18,37,65,96,309,61.8
11223685,R1684,Ravi,Mahesh,2005,SC,M,A,Hisar,6th,50,69,59,71,59,308,61.6
11223686,R1685,Vikas,Satish,2005,BC,F,D,Karnal,12th,61,38,0,13,50,162,32.4
11223687,R1686,Kamal,Rajesh,2000,GNRL,F,B,Jhajjar,7th,21,20,56,70,73,240,48
11223688,R1687,Vikas,Naresh,2007,GNRL,F,B,Rohtak,11th,40,83,79,37,97,336,67.2
11223689,R1688,Mohit,Lokesh,2003,BC,F,D,Faridabad,7th,61,21,74,100,61,317,63.4
11223690,R1689,Vikas,Rajesh,2003,BC,F,A,Kurukshetra,7th,56,50,83,70,72,331,66.2
11223691,R1690,Aman,Ramesh,2006,GNRL,F,B,Panipat,7th,0,22,63,68,85,238,47.6
11223692,R1691,Ravi,Lokesh,2005,GNRL,M,B,Panipat,7th,65,97,89,98,31,380,76
11223693,R1692,Mohit,Lokesh,2005,BC,M,B,Hisar,8th,49,20,17,72,70,228,45.6
11223694,R1693,Mohit,Naresh,2000,SC,F,D,Gurgaon,9th,70,14,23,44,22,173,34.6
11223695,R1694,Kamal,Lokesh,2003,GNRL,M,D,Rohtak,11th,34,74,97,85,92,382,76.4
11223696,R1695,Vikas,Satish,2002,BC,F,B,Hisar,7th,63,42,58,72,42,277,55.4
11223697,R1696,Anjali,Rajesh,2006,SC,F,C,Kurukshetra,12th,30,68,20,98,64,280,56
11223698,R1697,Pooja,Mahesh,2006,SC,F,D,Kurukshetra,11th,28,60,41,89,61,279,55.8
11223699,R1698,Aman,Naresh,2008,OBC,F,D,Ambala,6th,4,30,63,38,43,178,35.6
11223700,R1699,Aman,Suresh,2007,GNRL,F,D,Jhajjar,7th,97,32,63,65,80,337,67.4
11223701,R1700,Deepak,Rajesh,2009,BC,M,D,Jhajjar,11th,27,40,2,32,79,180,36
11223702,R1701,Vikas,Naresh,2004,BC,,C,Gurgaon,8th,70,32,39,47,25,213,42.6
11223703,R1702,Ravi,Ramesh,2009,GNRL,F,B,Hisar,12th,31,40,78,74,29,252,50.4
11223704,R1703,Suman,Mukesh,2009,SC,F,B,Sonipat,7th,49,87,17,52,12,217,43.4
11223705,R1704,Kamal,Mukesh,2000,BC,F,D,Ambala,11th,55,4,67,39,21,186,37.2
11223706,R1705,Pooja,Rajesh,2005,GNRL,F,D,Ambala,7th,67,67,26,21,46,227,45.4
11223707,R1706,Pooja,Rajesh,,OBC,M,D,,8th,26,15,38,29,3,111,22.2
11223708,R1707,Aman,Lokesh,2001,GNRL,M,A,Hisar,7th,48,60,30,81,92,311,62.2
11223709,R1708,Aman,Rajesh,2004,GNRL,F,A,Hisar,11th,73,13,1,69,48,204,40.8
11223710,R1709,Deepak,Mahesh,2001,SC,F,C,Faridabad,12th,89,98,40,62,87,376,75.2
11223711,R1710,Ravi,Prakash,2001,GNRL,M,D,Karnal,6th,56,16,29,46,51,198,39.6
11223712,R1711,Pooja,Mukesh,2009,BC,F,B,Karnal,7th,5,16,79,83,7,190,38
11223713,R1712,Suman,Lokesh,2002,OBC,M,B,Jhajjar,11th,75,36,50,25,86,272,54.4
11223714,R1713,Pooja,Ramesh,2008,OBC,M,D,Faridabad,9th,84,32,85,83,23,307,61.4
11223715,R1714,Aman,Mahesh,2005,GNRL,F,B,Gurgaon,6th,75,15,86,16,36,228,45.6
11223716,R1715,Mohit,Mahesh,2006,BC,F,A,Karnal,9th,83,99,79,46,80,387,77.4
11223717,R1716,Mohit,Satish,2008,SC,M,A,Hisar,12th,50,7,67,41,18,183,36.6
11223718,R1717,Vikas,Rajesh,2003,OBC,F,D,Faridabad,9th,22,41,9,44,96,212,
11223719,R1718,Aman,Mahesh,2003,GNRL,F,D,Sonipat,9th,41,74,7,96,94,312,62.4
11223720,R1719,Anjali,Naresh,2001,BC,M,D,Gurgaon,11th,87,47,55,31,29,249,49.8
11223721,R1720,Ravi,Rajesh,2004,OBC,F,B,Karnal,9th,100,54,41,44,75,314,62.8
11223722,R1721,Vikas,Mukesh,2002,GNRL,M,C,,11th,52,47,29,95,99,322,64.4
11223723,R1722,Anjali,Mahesh,2003,OBC,M,B,Rohtak,7th,12,51,100,38,30,231,46.2
11223724,R1723,Suman,Ramesh,2005,GNRL,F,D,Sonipat,12th,30,28,40,65,0,163,32.6
11223725,R1724,Mohit,Mukesh,2002,BC,F,C,Jhajjar,7th,83,34,69,77,87,350,70
11223726,R1725,Deepak,Ramesh,2003,OBC,F,C,Faridabad,6th,0,24,0,25,66,115,23
11223727,R1726,Ravi,Ramesh,2005,OBC,M,D,Panipat,7th,38,16,53,64,35,206,41.2
11223728,R1727,Mohit,Rajesh,2009,OBC,M,D,Sonipat,8th,47,83,62,93,42,327,65.4
11223729,R1728,Ravi,Suresh,2007,OBC,F,B,Jhajjar,6th,4,97,60,43,38,242,48.4
11223730,R1729,Pooja,Rajesh,2001,SC,F,A,Kurukshetra,8th,30,16,78,49,79,252,50.4
11223731,R1730,Pooja,Suresh,2009,BC,F,D,Hisar,12th,46,73,76,77,35,307,61.4
11223732,R1731,Aman,Dinesh,2000,BC,F,D,Rohtak,12th,19,52,97,97,41,306,61.2
11223733,R1732,Deepak,Prakash,2004,SC,M,B,Faridabad,6th,91,32,7,62,85,277,55.4
11223734,R1733,Suman,Mukesh,2007,OBC,M,B,Rohtak,11th,10,34,90,78,25,237,47.4
11223735,R1734,Suman,Naresh,2001,OBC,F,B,Gurgaon,6th,7,53,16,79,43,198,39.6
11223736,R1735,Suman,Naresh,2006,GNRL,F,C,Gurgaon,6th,11,31,79,76,2,199,39.8
11223737,R1736,Deepak,Lokesh,2009,,F,A,Jhajjar,7th,86,16,54,68,45,269,53.8
11223738,R1737,Anjali,Prakash,2003,SC,M,A,Hisar,7th,17,42,99,37,52,247,49.4
11223739,R1738,Mohit,Mukesh,2009,BC,F,C,Faridabad,9th,78,43,85,74,59,339,67.8
11223740,R1739,Vikas,Naresh,2005,OBC,F,A,Ambala,12th,87,66,47,26,85,311,62.2
11223741,R1740,Anjali,Naresh,2003,GNRL,M,D,Sonipat,11th,54,86,98,24,23,285,57
11223742,R1741,Vikas,Mukesh,2009,SC,F,B,Rohtak,9th,51,63,52,85,15,266,53.2
11223743,R1742,Kamal,Mukesh,2004,BC,M,B,Rohtak,12th,49,15,93,98,28,283,56.6
11223744,R1743,Suman,Prakash,2000,SC,M,C,Hisar,11th,87,88,96,54,25,350,70
11223745,R1744,Vikas,Mahesh,2002,BC,F,D,Faridabad,,4,95,16,67,92,274,54.8
11223746,R1745,Suman,Naresh,2003,OBC,F,A,Ambala,8th,20,33,19,64,53,189,37.8
11223747,R1746,Pooja,Mukesh,2004,BC,F,B,Jhajjar,12th,31,87,99,98,57,372,74.4
11223748,R1747,Vikas,Ramesh,2004,BC,M,A,Karnal,9th,6,92,71,31,16,216,43.2
11223749,R1748,Anjali,Ramesh,2003,GNRL,M,D,Faridabad,7th,21,78,68,90,62,319,63.8
11223750,R1749,Vikas,Satish,2006,SC,F,A,Rohtak,11th,65,78,92,38,76,349,69.8
11223751,R1750,Suman,Suresh,2000,OBC,F,B,Rohtak,6th,71,48,28,5,94,246,49.2
11223752,R1751,Deepak,Dinesh,2009,GNRL,M,C,Ambala,8th,54,98,8,97,61,318,63.6
11223753,R1752,Suman,Mukesh,2008,GNRL,F,D,Faridabad,7th,84,72,21,9,2,188,37.6
11223754,R1753,Anjali,Satish,2005,SC,M,B,Karnal,6th,73,62,66,52,74,327,65.4
11223755,R1754,Deepak,Prakash,2005,OBC,F,A,Rohtak,6th,35,56,96,84,14,285,57
11223756,R1755,Deepak,Satish,2005,OBC,F,C,Sonipat,11th,79,35,92,25,29,260,52
11223757,R1756,Ravi,Mahesh,2002,SC,M,B,Kurukshetra,8th,63,17,73,84,98,335,67
11223758,R1757,Ravi,Mahesh,2006,BC,M,A,Gurgaon,8th,5,66,60,21,97,249,49.8
11223759,R1758,Mohit,Satish,2009,SC,M,D,Kurukshetra,12th,13,45,49,71,26,204,40.8
11223760,R1759,Aman,Lokesh,2007,SC,M,B,,9th,20,12,21,78,35,166,33.2
11223761,R1760,Deepak,Mahesh,2000,GNRL,F,D,Hisar,8th,38,26,39,24,59,186,37.2
11223762,R1761,Deepak,Dinesh,2005,GNRL,F,D,Ambala,11th,10,71,1,9,49,140,28
11223763,R1762,Aman,Satish,2001,OBC,F,C,Gurgaon,12th,89,2,7,42,31,171,34.2
11223764,R1763,Anjali,Satish,2007,GNRL,F,B,Kurukshetra,7th,54,43,63,79,59,298,59.6
11223765,R1764,Suman,Naresh,2000,SC,F,D,Sonipat,6th,52,8,62,79,23,224,44.8
11223766,R1765,Neha,Mahesh,2001,GNRL,M,C,Rohtak,11th,78,39,84,38,47,286,57.2
11223767,R1766,Ravi,Dinesh,2001,BC,F,B,Faridabad,9th,86,65,12,97,75,335,67
11223768,R1767,Anjali,Rajesh,2003,OBC,M,B,Hisar,12th,83,39,3,53,49,227,45.4
11223769,R1768,Deepak,Naresh,2003,GNRL,F,C,,8th,92,92,57,36,25,302,60.4
11223770,R1769,Deepak,Dinesh,2008,SC,F,D,Panipat,6th,35,18,34,22,67,176,35.2
11223771,R1770,Suman,Dinesh,2009,GNRL,M,A,Kurukshetra,7th,9,41,64,57,61,232,46.4
11223772,R1771,Ravi,,2003,BC,F,A,Karnal,9th,4,77,47,10,57,195,39
11223773,R1772,Vikas,Suresh,2004,OBC,M,C,Sonipat,12th,25,76,60,11,28,200,40
11223774,R1773,Deepak,Mukesh,2002,OBC,F,A,Jhajjar,8th,16,65,51,46,61,239,47.8
11223775,R1774,Suman,Naresh,2001,SC,M,A,Ambala,12th,90,29,58,2,14,193,38.6
11223776,R1775,Mohit,Naresh,2008,SC,F,D,Panipat,6th,41,5,36,5,52,139,27.8
11223777,R1776,Suman,Suresh,2004,SC,M,C,Ambala,12th,0,36,36,13,49,134,26.8
11223778,R1777,Vikas,Rajesh,2000,SC,F,D,Karnal,6th,58,100,52,44,75,329,65.8
11223779,R1778,Aman,Ramesh,2001,BC,M,B,Panipat,11th,77,3,71,57,88,296,59.2
